Geneid	HMECPIT1_1
1116	0
1118	2
100506775	0
730227	0
7832	1
2331	0
5549	0
26254	0
493	1590
677843	2
84719	0
54900	0
9877	3511
100381270	1166
6635	1618
284573	0
9580	157
55224	246
101929441	3
5972	26
3814	165
127845	4
22874	109
127841	0
84919	1426
5287	6
100189122	23
100189425	0
4194	403
10446	0
23114	0
6900	1
388730	9
5929	472
25778	270
9911	49
81788	59
55220	0
284576	0
93273	0
101669762	0
105371697	0
442891	0
100189098	0
5129	12
284578	0
148808	5
2005	1296
85414	124
64710	5203
8934	297
254428	515
148811	2
284581	28
115019	0
103021296	16
103021295	1
338382	4
1510	0
440712	0
553	0
729533	49
23380	509
9641	105
102466202	0
83593	16
1939	1351
8444	416
9261	1531
3586	0
29949	0
50604	2
11009	1593
9214	10
5284	2
83953	0
79098	1
5208	163
55432	382
725	0
722	0
1604	1503
1380	0
1378	0
1379	0
4179	3905
407026	0
407025	1
148696	1
947	8
105372883	6
5362	70
642587	0
406988	0
57172	14
3914	11314
100422894	0
50486	0
3290	759
80342	22
148304	90
3664	2
27042	362
255928	581
574036	21
56256	2
105373474	0
55733	28
3756	0
55758	179
7188	138
84791	125
343035	0
7779	167
4751	482
9926	2283
102723727	0
25896	210
51514	493
100131205	183
100422947	0
101929541	7
5525	816
692157	1
55248	479
29937	1702
101929565	0
467	37
149647	0
55509	34
25936	438
128387	281
149643	0
642946	28
28982	368
79805	2
90806	489
26750	780
100505832	0
100861504	0
5629	2
105372911	0
56950	769
5784	4406
1063	1425
3776	68
101929612	0
51133	1171
7399	4
102723833	0
2104	5
55105	141
128153	6
103752555	0
100885798	0
101929631	0
51018	354
728463	9
7042	1177
103611157	0
643723	166
127018	564
102723886	5
55532	0
2058	3467
10380	480
55699	1847
406997	0
406969	0
25782	1834
100302234	1
677818	0
6791	13
4139	107
79762	5
54996	40
64757	5
101929730	0
100873924	0
105373280	2
3142	127
400804	1
11221	553
101929771	0
100189378	0
79802	0
9015	194
100506161	2
375056	892
64853	1532
148362	1405
400823	0
84976	95
7100	0
55061	3
164127	0
388743	0
824	6912
7159	547
105369195	10
441124	0
23219	1791
8560	1318
101927143	0
101927164	0
4931	151
100313769	0
29097	1903
80232	2519
100616468	0
149111	112
127602	481
3930	999
55740	1664
6726	5339
2052	175
9725	251
10637	2
29920	994
102466270	0
7044	0
163859	526
3020	1309
64746	1224
83881	0
286826	158
142	973
375057	0
3707	182
100506443	1
5664	146
56997	90
105379282	0
8476	1110
339500	139
100130093	21
65094	159
116841	683
105373289	3
339501	0
7483	0
100847072	0
101060022	0
89780	3
100506571	2
375	8678
100500810	0
79169	51
128308	718
2987	2695
57165	8
574432	0
200205	100
574407	0
84033	31
101927401	0
81559	293
102465444	0
51127	6
8290	0
92815	245
128312	166
100616308	0
149603	2052
100129094	0
100169751	0
100169753	0
100169754	0
100169755	0
100169756	0
100169757	0
100169758	0
100169759	0
100169760	0
100169761	0
